Raw Columns,units,SEED Table,SEED Columns
Audit Template Building ID,,PropertyState,audit_template_building_id
Portfolio Manager Building ID,,PropertyState,pm_property_id
Property Name,,PropertyState,property_name
Property Type,,PropertyState,property_type
Address 1,,PropertyState,address_line_1
City,,PropertyState,city
State,,PropertyState,state
Postal Code,,PropertyState,postal_code
Year Built,,PropertyState,year_built
Owner,,PropertyState,owner
Owner Email,,PropertyState,owner_email
Gross Area (SF),ft**2,PropertyState,gross_floor_area
