X,Y,PID,SSL,PMPROPERTYID,UBID,PROPERTYNAME,PMPARENTPROPERTYID,PARENTPROPERTYNAME,ADDRESSOFRECORD,OWNEROFRECORD,WARD,REPORTEDADDRESS,CITY,STATE,POSTALCODE,YEARBUILT,PRIMARYPROPERTYTYPE_EPACALC,TAXRECORDFLOORAREA,REPORTEDBUILDINGGROSSFLOORAREA,BEPS,BEPS_METRIC_TYPE,PROPERTY_BEPS_METRIC_YEAR,BEPS_PROPERTY_GROUP,PROPERTY_BEPS_METRIC,DISTANCE_FROM_BEPS_ESTIMATED,PERFORMANCE_REQUIREMENT_EST,MEETS_BEPS,LASTUPDATE,LATITUDE,LONGITUDE,XCOORD,YCOORD,MAR_ID,GIS_ID,GLOBALID,OBJECTID
-76.9866964889765,38.9015954435042,PM12004199,4068 0828,12004199,,Engine Company 10,,,1342 FLORIDA AVENUE NE,DISTRICT OF COLUMBIA,5,1342 FLORIDA AVENUE NE,WASHINGTON,DC,20002,1925,Fire Station,13195,13195.0,185,WEATHERNORMALZEDSOUREUI_KBTUFT,2019,Fire station/police station,137.1,,,Meets BEPS,2023/09/16 04:00:00+00,38.90158765,-76.98669421,401154.16995547,137081.62750151,294519,,{0639A2BF-CEF0-2945-E063-782F520A104C},253952
-77.0330648823567,38.9322546166689,PM12004200,2678 0844,12004200,,Engine Company 11,,,3420 14TH STREET NW,DISTRICT OF COLUMBIA HOUSING AUTHORITY,1,3420 14TH STREET NW,WASHINGTON,DC,20010,1984,Fire Station,17479,14219.0,185,WEATHERNORMALZEDSOUREUI_KBTUFT,2019,Fire station/police station,238.1,-22.30%,-20.00%,Does Not Meet BEPS,2023/08/16 04:00:00+00,38.93224682,-77.03306259,397133.31970086,140485.48664446,234580,,{0639A2BF-CEF1-2945-E063-782F520A104C},253953
-76.9991457312753,38.9199158516898,PM12004201,PAR 01310216,12004201,,Engine Company 12,,,2225 5TH ST NE,"KRUPSAW, DAVID L",5,2225 5TH STREET NE,WASHINGTON,DC,20002,1986,Fire Station,14674,15913.0,185,WEATHERNORMALZEDSOUREUI_KBTUFT,2019,Fire station/police station,208.6,-11.31%,-20.00%,Does Not Meet BEPS,2023/09/16 04:00:00+00,38.91990806,-76.99914345,400074.27972152,139115.2600615,294541,,{0639A2BF-CEF2-2945-E063-782F520A104C},258114
-77.0178239217849,38.8828134822265,PM12004202,0495 0839,12004202,,Engine Company 13,,,501 4TH STREET SW,DISTRICT OF COLUMBIA,6,501 4th Street SW,WASHINGTON,DC,20024,1960,Fire Station,23373,23373.0,185,WEATHERNORMALZEDSOUREUI_KBTUFT,2019,Fire station/police station,132.4,,,Meets BEPS,2023/09/16 04:00:00+00,38.8828057,-77.01782163,398453.7103251,134996.75020407,313000,,{0639A2BF-CEF3-2945-E063-782F520A104C},258115
-77.0355601837587,38.9293445782868,PM12004255,"2673 0889; 2674 0853",12004255,,Columbia Heights Education Campus,,,3101 16TH STREET NW,DISTRICT OF COLUMBIA,1,3101 16th Street NW,WASHINGTON,DC,20010,2006,K-12 School,185000,325217.0,36,ENERGYSTARSCORE,2019,K-12 School,24,-12.20%,-20.00%,Does Not Meet BEPS,2023/09/18 04:00:00+00,38.92933679,-77.03555789,396916.8397708,140162.5294995,234375,,{0639A2BF-CEF4-2945-E063-782F520A104C},258116
-77.0331548060057,38.9257266361363,PM12004256,2668 0829,12004256,,Community Of Hope: Girard Street Apartments,,,1413 GIRARD STREET NW,DISTRICT OF COLUMBIA,1,1413 Girard Street NW,WASHINGTON,DC,20009,1950,Other - Lodging/Residential,29000,28402.0,143,WEATHERNORMALZEDSOUREUI_KBTUFT,2019,Lodging,115,,,Meets BEPS,2023/07/21 04:00:00+00,38.92571884,-77.03315251,397125.26004942,139760.82755707,234321,,{0639A2BF-CEF5-2945-E063-782F520A104C},258117
-77.0178544199114,38.8835578135774,PM12004257,0494 0037,12004257,,Consolidated Forensic Lab,,,415 4TH STREET SW,DISTRICT OF COLUMBIA,6,401 E Street SW,WASHINGTON,DC,20024,2012,Laboratory,287000,287000.0,318,WEATHERNORMALZEDSOUREUI_KBTUFT,2019,Laboratory,481.1,-33.90%,-20.00%,Does Not Meet BEPS,2023/09/22 04:00:00+00,38.88355003,-77.01785213,398451.08015775,135079.37707069,309137,,{0639A2BF-CEF6-2945-E063-782F520A104C},258118
-77.0195806455823,38.967292373082,PM12004258,3269 0807,12004258,,Coolidge High School/Ida B. Wells Middle School/Frank Williams Center,,,6315 5TH STREET NW,DISTRICT OF COLUMBIA,4,6315 5TH Street NW,WASHINGTON,DC,20011,1940,K-12 School,246590,483237.0,36,ENERGYSTARSCORE,2019,K-12 School,94,,,Meets BEPS,2023/09/19 04:00:00+00,38.96728457,-77.01957835,398303.30015861,144374.65677173,294615,,{0639A2BF-CEF7-2945-E063-782F520A104C},258119
-76.9991827112452,38.9028786455596,PM12004259,0830 0816,12004259,,DC Office of Aging and Hayes Senior Wellness Center,,,500 K STREET NE,DISTRICT OF COLUMBIA,6,500 K STREET NE,WASHINGTON,DC,20002,1980,Office,19662,19662.0,71,ENERGYSTARSCORE,2019,Office_all,2,-70.00%,-20.00%,Does Not Meet BEPS,2023/07/14 04:00:00+00,38.90287086,-76.99918043,400071.08980808,137223.99036052,300865,,{0639A2BF-CEF8-2945-E063-782F520A104C},258120
-76.9199292659026,38.8960017637971,PM12004260,5226 0800,12004260,,Drew Elementary School,,,5600 EADS STREET NE,DISTRICT OF COLUMBIA,7,5600 EADS STREET NE,WASHINGTON,DC,20019,1959,K-12 School,67763,67238.0,36,ENERGYSTARSCORE,2019,K-12 School,36,,,Meets BEPS,2023/09/21 04:00:00+00,38.89599397,-76.91992701,406946.22978788,136463.64661926,277686,,{0639A2BF-CEF9-2945-E063-782F520A104C},258121
-77.0082937454116,38.9489004061176,PM12004261,PAR 01240155,12004261,,Engine Company 14,,,4801 NORTH CAPITOL STREET NE,DISTRICT OF COLUMBIA,5,4801 NORTH CAPITOL STREET NE,WASHINGTON,DC,20011,1956,Fire Station,13505,13505.0,185,WEATHERNORMALZEDSOUREUI_KBTUFT,2019,Fire station/police station,273,-32.23%,-20.00%,Does Not Meet BEPS,2023/07/14 04:00:00+00,38.94889261,-77.00829146,399281.25967954,142332.83018051,288276,,{0639A2BF-CEFA-2945-E063-782F520A104C},258122
-77.0300179132665,38.9033187863076,PM12004262,0248 0814,12004262,,Engine Company 16,,,1018 13TH STREET NW,DISTRICT OF COLUMBIA,2,1018 13TH STREET NW,WASHINGTON,DC,20005,1932,Fire Station,30104,25634.0,185,WEATHERNORMALZEDSOUREUI_KBTUFT,2019,Fire station/police station,260.7,-29.04%,-20.00%,Does Not Meet BEPS,2023/07/21 04:00:00+00,38.903311,-77.03001562,397396.45001561,137273.27715972,240645,,{0639A2BF-CEFB-2945-E063-782F520A104C},258123
